Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
GOF449cf	LLM251	GOM383	G	F	virgin	cf	Y	07.02.2013 10:08:07	151637	149153	2261	223	110769	35398	5470	0	0	151637	110769	5470	110254	5470	0.952732363	0.047267637	0.952732363	0.047267637	H	
GOF421cf	GOM402	LLM275	G	F	virgin	cf	Y	04.04.2013 11:49:18	157474	157474	0	0	105	138749	18620	0	0	157474	105	18620	105	18620	0.005607477	0.994392523	0.994392523	0.005607477	H	
GOF423cf	LLM299	GOM414	G	F	virgin	cf	Y	26.05.2013 11:00:00	147457	127364	14973	5120	127342	14995	5120	0	0	147457	127342	5120	127342	5120	0.961347405	0.038652595	0.961347405	0.038652595	H	
GOM466cf	GOF493	LLF324	G	M	virgin	cf	Y	30.06.2013 14:27:00	165907	165869	38	0	79	162455	3373	0	5	165902	79	3373	79	3373	0.022885284	0.977114716	0.977114716	0.022885284	H	
GOF468cf	GOM486	LLM351	G	F	virgin	cf	Y	27.07.2013 11:41:49	157065	157065	0	0	11631	80280	65154	510	2862	153693	11631	65154	11631	64661	0.15245373	0.84754627	0.84754627	0.15245373	H	
GOM450cf	GOF537	LLF355	G	M	virgin	cf	Y	16.08.2013 12:19:34	159535	159535	0	0	22365	11196	125974	0	25	159510	22365	125974	22365	125974	0.150769521	0.849230479	0.849230479	0.150769521	H	
GOM540cf	GOF526	LLF393	G	M	virgin	cf	Y	08.09.2013 15:20:21	170416	170416	0	0	1240	148965	20211	0	0	170416	1240	20211	1240	20211	0.057806163	0.942193837	0.942193837	0.057806163	H	Both
GOM539cf	LLF390	GOF554	G	M	virgin	cf	Y	12.09.2013 12:33:03	159650	148296	11354	0	99616	50201	9833	0	0	159650	99616	9833	97406	9833	0.908307612	0.091692388	0.908307612	0.091692388	H	
GOM538cf	LLF412	GOF557	G	M	virgin	cf	N	26.09.2013 12:23:55	158678	158678	0	0	19040	139638	0	0	0	158678	19040	0	19040	0	1	0	1	0	H	
GOF568cf	LLM446	GOM533	G	F	virgin	cf	Y	05.10.2013 17:57:08	93345	92871	474	0	55335	37767	243	0	0	93345	55095	243	55335	243	0.995608804	0.004391196	0.995608804	0.004391196	H	
GOF583cf	GOM553	LLM406	G	F	virgin	cf	N	14.11.2013 14:47:06	166758	168305	0	0	710	157870	8178	0	2810	165495	11388	19906	11388	17825	0.389826447	0.610173553	0.610173553	0.389826447	H	
GOF581cf	GOM564	LLM405	G	F	virgin	cf	N	16.11.2013 14:29:37	168305	166758	0	0	11388	137011	19906	0	11438	155320	710	8178	710	7222	0.089510842	0.910489158	0.910489158	0.089510842	H	
GOF584cf	LLM457	GOM565	G	F	virgin	cf	Y	15.12.2013 12:28:41	155659	142706	0	0	49	23423	132187	0	0	142706	14804	22326	14804	22326	0.398707245	0.601292755	0.398707245	0.601292755	C	
GOF610cf	LLM512	GOM607	G	F	virgin	cf	Y	05.01.2014 12:12:41	156025	159690	0	0	47151	107828	1046	0	0	159690	6060	8697	6060	8697	0.410652572	0.589347428	0.410652572	0.589347428	C	
GOM608cf	LLF483	GOF581	G	M	virgin	cf	Y	06.01.2014 13:26:44	154998	165470	0	0	0	154998	0	0	0	165470	123091	62	123091	62	0.999496561	0.000503439	0.999496561	0.000503439	H	
GOM624cf	GOF600	LLF554	G	M	virgin	cf	N	17.01.2014 11:04:50	158995	154998	0	0	1496	156287	1212	0	0	154998	1496	1212	1496	1212	0.552437223	0.447562777	0.447562777	0.552437223	C	
