mouse ID,setup,Sex,Birth,Siring date,Death,Mother,Father,Population background,LitterID,inbreeding coefficient,6G71,6G72,9C81,9C82,9F121,9F122,3J61,3J62,8G71,8G72,6A41,6A42,7F91,7F92,5H111,5H112,8D41,8D42,9H51,9H52,4C111,4C112,7J61,7J62,6G31,6G32,10C61,10C62,8H71,8H72
1,I roomA,m,8/21/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,406,430,178,182,363,365,224,242,490,498,331,335,214,216,,,223,253,463,469,361,363,200,206,283,283,223,235,219,223
2,I roomA,m,6/10/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,430,442,182,184,363,363,222,224,492,498,309,331,210,214,,,245,253,469,475,357,361,200,200,271,281,227,229,219,225
3,I roomA,m,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,402,414,174,186,363,371,246,254,494,494,319,339,212,212,,,223,223,471,477,359,371,206,212,271,279,231,237,227,227
4,I roomA,m,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,406,174,194,361,373,224,230,,,325,333,212,212,,,233,259,471,473,357,363,202,208,277,289,213,217,219,223
5,I roomA,m,9/6/2007,n.a.,5/26/2008,n.a.,n.a.,D,n.a.,n.a.,408,414,174,194,361,373,224,238,,,325,325,212,212,,,223,259,471,473,357,363,202,204,277,289,213,213,227,229
6,I roomA,m,8/24/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,442,180,182,363,363,224,240,,,331,335,206,210,,,253,261,469,475,365,369,206,208,271,281,223,227,219,225
7,I roomA,m,8/29/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,182,182,367,377,224,226,488,494,317,331,212,214,,,253,253,469,487,363,365,204,208,271,281,221,223,209,219
8,I roomA,m,8/29/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,180,182,363,367,224,224,490,498,317,331,212,214,,,223,253,469,487,363,365,204,208,281,283,223,225,209,219
9,I roomA,m,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,396,414,172,186,363,371,238,254,482,494,319,339,208,212,,,,,,,359,371,206,212,279,279,227,231,227,227
10,I roomA,m,8/7/2007,n.a.,5/6/2008,n.a.,n.a.,D,n.a.,n.a.,394,394,172,186,363,365,222,242,478,492,325,339,212,214,,,247,261,471,475,357,363,200,200,275,283,227,231,225,227
11,I roomA,f,7/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,180,180,365,375,224,240,,,309,331,206,212,,,245,253,469,475,363,369,200,204,271,281,223,223,219,219
12,I roomA,f,6/10/2007,n.a.,6/12/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,172,180,363,365,222,234,492,492,319,325,212,214,,,223,223,465,471,361,365,200,210,279,279,225,229,221,225
13,I roomA,f,8/13/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,408,166,180,367,373,238,244,478,480,325,337,212,214,,,233,233,471,475,357,361,202,206,281,289,217,221,219,227
14,I roomA,f,8/7/2007,n.a.,5/26/2008,n.a.,n.a.,D,n.a.,n.a.,396,414,172,186,363,363,246,254,494,494,319,339,212,212,,,223,223,471,475,359,371,206,212,271,279,227,231,227,227
15,I roomA,f,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,396,430,174,180,363,365,246,248,,,319,319,212,214,,,,,,,359,371,200,206,279,283,231,231,223,227
16,I roomA,f,8/13/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,408,166,180,365,367,238,244,478,480,325,337,212,212,,,233,233,475,479,357,361,202,206,281,289,213,237,219,227
17,I roomA,f,9/6/2007,n.a.,10/9/2008,n.a.,n.a.,D,n.a.,n.a.,408,414,174,194,361,373,224,238,470,492,325,333,204,212,,,233,233,475,483,357,363,202,208,277,289,213,213,223,229
18,I roomA,f,8/13/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,408,180,188,363,373,238,244,478,492,325,333,212,212,,,233,233,475,479,357,359,206,208,289,289,217,221,219,229
19,I roomA,f,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,408,180,194,361,373,238,238,480,492,325,325,204,212,,,233,233,473,483,355,363,202,202,277,289,213,213,223,229
20,I roomB,m,9/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,406,430,180,184,363,377,224,242,488,498,331,339,212,216,,,223,253,463,469,363,365,204,206,283,289,229,235,209,219
21,I roomB,m,9/7/2007,n.a.,,n.a.,n.a.,D,n.a.,n.a.,394,430,180,184,367,377,224,224,488,498,331,339,212,216,,,223,253,463,469,363,365,204,206,283,289,223,235,219,223
22,I roomB,m,6/9/2007,n.a.,6/20/2008,n.a.,n.a.,D,n.a.,n.a.,402,430,174,180,363,363,246,248,482,494,319,335,212,214,,,223,223,469,479,359,371,200,206,277,283,227,231,223,227
23,I roomB,m,8/21/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,406,420,182,182,363,365,224,224,490,498,331,339,212,214,,,223,253,463,469,361,363,200,206,281,283,223,235,209,219
24,I roomB,m,9/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,406,430,182,184,367,377,224,224,488,498,331,339,212,216,,,223,253,463,469,363,365,204,206,283,289,223,235,209,219
25,I roomB,m,8/7/2007,n.a.,5/6/2008,n.a.,n.a.,D,n.a.,n.a.,402,430,172,186,363,371,238,242,482,494,319,339,208,212,,,223,223,471,475,359,371,200,206,279,283,227,231,227,227
26,I roomB,m,8/7/2007,n.a.,,n.a.,n.a.,D,n.a.,n.a.,394,408,180,194,361,373,224,238,480,484,325,333,204,212,,,233,233,473,483,357,363,204,208,277,289,217,237,227,229
27,I roomB,f,7/7/2007,n.a.,10/9/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,178,180,375,377,222,224,492,494,309,331,206,210,,,245,257,469,475,357,365,200,200,281,283,223,223,219,225
28,I roomB,f,8/29/2007,n.a.,10/9/2008,n.a.,n.a.,D,n.a.,n.a.,394,430,180,182,367,377,224,226,490,498,317,331,212,214,,,223,253,469,487,363,365,200,204,281,283,225,229,209,219
29,I roomB,f,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,408,174,194,361,373,230,238,470,492,325,333,204,212,,,223,233,473,483,357,363,204,208,277,289,217,237,223,229
30,I roomB,f,8/7/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,396,430,174,180,363,365,246,248,478,494,319,339,212,214,,,223,223,471,479,359,371,200,206,279,283,227,231,221,227
31,I roomB,f,7/7/2007,n.a.,5/26/2008,n.a.,n.a.,D,n.a.,n.a.,430,442,180,184,365,375,222,224,478,504,335,343,206,212,,,245,253,469,475,357,365,200,204,281,289,223,227,219,225
32,I roomB,f,8/7/2007,n.a.,10/9/2008,n.a.,n.a.,D,n.a.,n.a.,402,430,174,180,363,363,246,248,494,494,335,339,212,214,,,223,223,469,479,359,371,200,206,277,283,227,231,223,227
33,I roomB,f,9/17/2007,n.a.,7/25/2008,n.a.,n.a.,D,n.a.,n.a.,396,430,174,186,363,363,238,242,482,494,319,339,204,208,,,223,223,471,477,359,371,200,206,271,279,231,237,227,227
34,I roomA,f,8/14/2007,n.a.,8/27/2008,n.a.,n.a.,D,n.a.,n.a.,394,394,176,180,359,373,224,248,484,506,325,337,200,206,,,223,259,469,471,361,365,194,204,285,289,223,225,223,225
35,I roomA,m,3/29/2007,n.a.,8/25/2008,n.a.,n.a.,F,n.a.,n.a.,420,430,176,176,363,377,234,238,468,506,321,327,206,224,,,237,245,453,471,357,361,186,210,271,293,219,223,219,223
36,I roomA,m,6/16/2007,n.a.,8/27/2008,n.a.,n.a.,F,n.a.,n.a.,416,424,170,180,363,377,236,238,,,309,321,206,224,,,223,237,453,467,357,361,186,192,,,219,229,219,223
37,I roomA,m,4/19/2007,n.a.,8/27/2008,n.a.,n.a.,F,n.a.,n.a.,414,418,178,180,359,369,236,240,478,478,327,327,206,224,,,245,251,471,481,355,357,204,206,275,277,219,223,219,225
