setup,female,male,Generation_female,Generation_male,Phase_siring,Number_offspring,inbreeding_status,female_origin,male_origin,familiarity
I roomA,11,9,F0,F0,6,5,no,G,G,repeated
I roomA,11,9,F0,F0,5,2,no,G,G,new
I roomA,11,37,F0,F0,6,2,no,G,F,repeated
I roomA,11,37,F0,F0,5,3,no,G,F,new
I roomA,15,1,F0,F0,8,6,no,G,G,repeated
I roomA,15,1,F0,F0,4,1,no,G,G,new
I roomA,15,8,F0,F0,1,3,no,G,G,new
I roomA,15,8,F0,F0,8,2,no,G,G,repeated
I roomA,15,8,F0,F0,4,4,no,G,G,repeated
I roomA,16,9,F0,F0,3,1,no,G,G,new
I roomA,16,9,F0,F0,7,6,no,G,G,repeated
I roomA,18,4,F0,F0,4,1,no,G,G,new
I roomA,18,10,F0,F0,2,1,no,G,G,new
I roomA,19,1,F0,F0,8,6,no,G,G,new
I roomA,19,10,F0,F0,2,1,no,G,G,new
I roomA,34,3,F0,F0,2,4,no,G,G,new
I roomA,45,2,F0,F0,6,2,no,F,G,repeated
I roomA,45,2,F0,F0,6,3,no,F,G,repeated
I roomA,45,2,F0,F0,3,3,no,F,G,new
I roomA,46,2,F0,F0,3,4,no,F,G,repeated
I roomA,46,2,F0,F0,2,1,no,F,G,new
I roomA,46,2,F0,F0,8,9,no,F,G,repeated
I roomA,46,2,F0,F0,6,5,no,F,G,repeated
I roomA,46,39,F0,F0,3,1,no,F,F,new
I roomA,48,38,F0,F0,2,3,no,F,F,new
I roomA,48,39,F0,F0,4,5,no,F,F,new
I roomA,49,7,F0,F0,4,2,no,F,G,new
I roomA,49,7,F0,F0,5,2,no,F,G,repeated
I roomA,49,7,F0,F0,6,9,no,F,G,repeated
I roomA,50,3,F0,F0,8,9,no,F,G,repeated
I roomA,50,3,F0,F0,5,1,no,F,G,new
I roomA,50,4,F0,F0,5,1,no,F,G,new
I roomA,51,35,F0,F0,1,5,no,F,F,new
I roomA,181,35,F1,F0,6,1,daughter-father,FF,F,new
I roomA,181,41,F1,F0,6,2,no,FF,F,new
I roomA,181,180,F1,F1,6,4,fullsibs (littermate),FF,FF,new
I roomA,201,3,F1,F0,8,7,daughter-father,GG,G,new
I roomA,203,3,F1,F0,7,1,daughter-father,GG,G,new
I roomA,203,4,F1,F0,7,4,no,GG,G,new
I roomB,28,20,F0,F0,2,4,no,G,G,new
I roomB,28,21,F0,F0,3,1,no,G,G,new
I roomB,28,24,F0,F0,2,2,no,G,G,new
I roomB,29,647,F0,F1,7,8,no,G,FF,new
