Male ID,Birthcage,Enclosure,Sire First Round Dominance Status,Sire Second Round Dominance Status,Dominance Status,Body Mass (g),Timepoint,Bradford Protein Assay,Creatinine Assay,MUP ratio (Bradford /Creatinine),Residual protein,Gel,Darcin band Area,MUP band area,Darcin band Relative Density to C57/Bl control ,MUP band Relative Density to C57/BL control,Darcin band: % of total,Darcin band % total Relative,Mup band + Darcin band Relative,Residual Darcin Relative Density,Residual MUP Relative Density,Residual Mup + Darcin Relative,Residual Darcin: % of total
2119,3.78,13,Won,Won,1,23.6,1,5.412,0.09093,59.51831079,1.419098401,Pre1_Gel1,2234.205,11070.489,0.760217984,1.448576916,0.167903711,0.344177716,2.2087949,0.297387615,0.229830921,0.527218536,0.034459056
2126,15,6,Won,Lost,1,25.3,1,6.3712,0.0501,127.1696607,2.704042703,,,,,,,,,,,,
2130,20,10,Lost,Won,1,,1,3.1008,0.06247,49.63662558,-0.665045933,Pre1_Gel1,589.163,5878.711,0.20027248,0.769163611,0.091002889,0.206586573,0.969436091,-0.230815555,-0.339398401,-0.570213956,-0.039045043
2155,17,11,Lost,Won,1,18.8,1,4.2144,0.09629,43.76778482,0.178735985,Pre1_Gel1,1723.255,11434.267,0.586285195,1.496071241,0.130946343,0.281548915,2.082356436,0.11747665,0.2565738,0.37405045,-0.003138032
2157,17,5,Lost,Won,1,17.7,1,2.9784,,,,Pre1_Gel1,2005.376,11836.631,0.682561308,1.548803911,0.144895402,0.305894034,2.231365219,,,,
2166,21,3,Lost,Won,1,23,1,3.6736,0.1101,33.36603088,-0.472241062,Pre1_Gel1,2409.74,10623.388,0.820163488,1.390082067,0.184908365,0.37107347,2.210245555,0.335952215,0.09711868,0.433070896,0.049175756
2173,30,9,Lost,Lost,1,24.1,1,3.624,0.0701,51.69757489,-0.202718552,Pre1_Gel1,2034.719,8201.317,0.692552225,1.073162214,0.198800678,0.3922221,1.765714439,0.252954211,-0.064939636,0.188014575,0.067842099
2193,6.63,4,Won,Won,1,28.3,1,4.0792,0.06557,62.21137715,0.288622072,Pre1_Gel2,2086.255,10756.853,0.57689243,1.182077264,0.162441104,0.327971785,1.758969694,0.142346868,0.061513483,0.203860351,0.032023184
2194,6.63,12,Won,Won,1,21.6,1,4.8616,0.08082,60.15342737,0.949356616,Pre1_Gel2,2769.447,10763.681,0.765737052,1.182710576,0.204642249,0.392998529,1.948447628,0.314182685,0.003105834,0.317288519,0.07240423
2214,4.76,8,Won,Won,1,21.4,1,2.58,0.06227,41.4324715,-1.18425032,Pre1_Gel2,665.941,7074.539,0.184063745,0.777390754,0.086001489,0.191443012,0.961454499,-0.246801224,-0.33039695,-0.577198174,-0.044022573
2215,4.76,7,Won,Won,1,20.6,1,1.5736,0.01979,79.51490652,-1.851742215,Pre1_Gel2,219.021,2505.205,0.060557769,0.275332489,0.080380751,0.180290341,0.335890258,-0.322927919,-0.667992263,-0.990920182,-0.044573291
2239,3.5,2,Won,Won,1,20.9,1,2.9784,0.10948,27.20496894,-1.162494663,Pre1_Gel2,150.778,3345.569,0.041832669,0.367637745,0.043263288,0.102162861,0.409470414,-0.441687098,-0.922925288,-1.364612386,-0.092395324
2252,4.158,1,Won,Won,1,25.9,1,4.404,0.11031,39.92385097,0.256483545,Pre1_Gel2,2568.326,11433.731,0.710358566,1.256333122,0.183473966,0.361194676,1.966691688,0.225913074,-0.037443288,0.188469786,0.047716293
2124,15,4,Won,Lost,0,23.3,1,3.8648,0.06763,57.14623688,0.057787263,,,,,,,,,,,,
2125,15,3,Won,Lost,0,23.9,1,4.8616,0.10845,44.82803135,0.728922742,,,,,,,,,,,,
2131,20,12,Lost,Won,0,28.7,1,2.764,0.04165,66.36254502,-0.835742667,,,,,,,,,,,,
2136,34,10,Lost,Lost,0,,1,3.4376,0.09258,37.13112983,-0.568465402,,,,,,,,,,,,
2137,34,1,Lost,Lost,0,34.5,1,4.468,0.05278,84.65327776,0.779461495,,,,,,,,,,,,
2138,34,2,Lost,Lost,0,20.4,1,2.0952,0.08557,24.48521678,-1.854939182,Pre1_Gel1,93.95,1463.376,0.031789282,0.191548804,0.059982862,0.14233704,0.223338086,-0.42506291,-1.006445745,-1.431508655,-0.072822073
2142,35,11,Lost,Lost,0,21,1,4.1312,0.12103,34.13368586,-0.101841287,,,,,,,,,,,,
2154,17,6,Lost,Won,0,24.7,1,3.6544,0.12536,29.15124442,-0.613186299,Pre1_Gel1,1038.598,11697.267,0.353315168,1.530644316,0.081517184,0.187538623,1.883959484,-0.147916063,0.178601253,0.03068519,-0.056036718
2158,17,7,Lost,Won,0,22,1,3.016,0.11835,25.48373469,-1.195660079,,,,,,,,,,,,
2163,21,5,Lost,Won,0,35,1,3.1864,0.10412,30.60315021,-0.911732246,,,,,,,,,,,,
2164,21,13,Lost,Won,0,34.7,1,3.0632,0.08866,34.54996616,-0.911591396,Pre1_Gel1,1128.184,6688.832,0.383742053,0.875152785,0.144271812,0.30482455,1.258894838,-0.076556513,-0.334804818,-0.411361331,0.011098083
2165,21,2,Lost,Won,0,28.5,1,3.1392,0.0833,37.68547419,-0.79282898,Pre1_Gel1,1159.477,8312.196,0.394641235,1.087654968,0.122428853,0.26623642,1.482296203,-0.059679154,-0.101551189,-0.161230344,-0.010105156
2167,21,4,Lost,Won,0,35.6,1,2.58,0.06454,39.97520917,-1.202360523,Pre1_Gel1,1248.891,6492.782,0.42506812,0.849484896,0.161351491,0.333503679,1.274553016,-0.008328651,-0.2670912,-0.275419851,0.031056503
2175,30,3,Lost,Lost,0,19.9,1,4.4144,0.07794,56.63843983,0.525133436,Pre1_Gel1,2184.497,11315.803,0.743415077,1.48070543,0.16180686,0.334251258,2.224120507,0.295072864,0.312250719,0.607323583,0.029912571
2176,30,8,Lost,Lost,0,17.8,1,3.764,0.05546,67.86873422,0.054080287,,,,,,,,,,,,
2179,26,9,Lost,Won,0,24.6,1,4.0584,0.10062,40.33392964,-0.011809027,,,,,,,,,,,,
2180,26,2,Lost,Won,0,19.9,1,4.4256,0.08227,53.79360642,0.501788425,Pre1_Gel2,2425.497,11697.803,0.670517928,1.285465484,0.171699653,0.342803484,1.955983412,0.21734633,0.100247012,0.317593342,0.039288576
2181,26,11,Lost,Won,0,19.8,1,2.3,0.03216,71.51741294,-1.224030851,Pre1_Gel2,464.163,5043.054,0.128286853,0.554148195,0.084249084,0.187983975,0.682435048,-0.268995485,-0.437067487,-0.706062973,-0.042181327
2182,26,13,Lost,Won,0,19.6,1,,,,,,,,,,,,,,,,
2183,26,12,Lost,Won,0,20.6,1,3.9048,0.06474,60.31510658,0.120843865,Pre1_Gel2,1581.669,10417.61,0.437450199,1.144711843,0.13184438,0.276488872,1.582162042,0.003830362,0.027361439,0.031191801,0.001525521
2184,26,1,Lost,Won,0,20.5,1,3.804,0.08392,45.32888465,-0.132975379,Pre1_Gel2,2575.74,13674.53,0.712350598,1.502691577,0.158524692,0.321596855,2.215042175,0.257338703,0.311085066,0.568423769,0.025916686
2195,6.63,3,Won,Won,0,24.2,1,4.1832,0.09711,43.07692308,0.140993974,,,,,,,,,,,,
2200,6.129,10,Won,Won,0,,1,2.3,0.04866,47.26674887,-1.355668887,,,,,,,,,,,,
2206,11,8,Won,Lost,0,20.7,1,4.1104,0.15814,25.99215885,-0.418707196,,,,,,,,,,,,
2207,11,1,Won,Lost,0,21.2,1,3.6048,0.06845,52.66325785,-0.208754748,Pre1_Gel2,1684.962,10119.681,0.465737052,1.111937935,0.142700195,0.295204688,1.577674987,0.027979335,-0.019775877,0.008203458,0.011938545
2208,11,9,Won,Lost,0,23.3,1,2.8936,0.07052,41.03233125,-0.936469338,Pre1_Gel2,896.477,8429.953,0.247808765,0.926377454,0.096091457,0.211047244,1.174186219,-0.192257688,-0.213350442,-0.40560813,-0.034917249
2211,4.76,5,Won,Won,0,20.5,1,3.5848,0.12103,29.6191027,-0.648241287,,,,,,,,,,,,
2212,4.76,11,Won,Won,0,28.4,1,2.7728,0.13856,20.01154734,-1.600096727,Pre1_Gel2,609.113,7408.175,0.168525896,0.814122863,0.076010782,0.171501663,0.982648759,-0.34742771,-0.589024507,-0.936452217,-0.06311855
2213,4.76,6,Won,Won,0,22.9,1,3.5944,0.06866,52.35071366,-0.220830141,,,,,,,,,,,,
2219,24,10,Lost,Won,0,,1,3.196,0.06454,49.51967772,-0.586360523,,,,,,,,,,,,
2225,31,6,Lost,Lost,0,33.4,1,3.956,0.13464,29.38205585,-0.385622721,,,,,,,,,,,,
2230,33,5,Lost,Lost,0,20.5,1,4.7392,0.07979,59.39591427,0.83517402,,,,,,,,,,,,
2231,33,4,Lost,Lost,0,19.1,1,,,,,,,,,,,,,,,,
2233,33,12,Lost,Lost,0,18.6,1,4.0376,0.08907,45.33063882,0.059537598,,,,,,,,,,,,
2240,3.5,9,Won,Won,0,25.7,1,3.3888,0.13794,24.56720313,-0.979150328,,,,,,,,,,,,
2247,14,8,Won,Lost,0,28.4,1,3.5352,0.06309,56.0342368,-0.235592332,,,,,,,,,,,,
2248,14,7,Won,Lost,0,25.8,1,3.7936,0.08392,45.2049571,-0.143375379,,,,,,,,,,,,
2257,28.8,7,Lost,Lost,0,31.7,1,2.8656,0.04082,70.20088192,-0.727520875,,,,,,,,,,,,
2259,28.8,13,Lost,Lost,0,21.1,1,2.0688,0.04351,47.54769019,-1.545781863,,,,,,,,,,,,
2119,3.78,13,Won,Won,1,24.4,2,5.3648,0.08639,62.09978007,1.408118806,Post1_Gel3,3006.497,12628.146,0.956660584,1.899072676,0.192332386,0.334996478,2.85573326,0.49889382,0.697903465,1.196797286,0.059429583
2126,15,6,Won,Lost,1,25.2,2,4.884,0.06536,74.7246022,1.095097466,Post1_Gel3,3392.912,13291.945,1.079379562,1.998921717,0.203351955,0.3506413,3.078301279,0.645068219,0.879170959,1.524239178,0.072959099
2130,20,10,Lost,Won,1,26.4,2,,,,,,,,,,,,,,,,
2155,17,11,Lost,Won,1,18.5,2,6.2016,0.07876,78.7404774,2.305791425,Post1_Gel3,2020.719,14192.38,0.642791971,2.134354108,0.124624093,0.231457746,2.777146079,0.193535186,0.962724735,1.156259922,-0.007368063
2157,17,5,Lost,Won,1,18.2,2,,,,,,,,,,,,,,,,
2166,21,3,Lost,Won,1,21,2,4.4256,0.10041,44.07529131,0.357066366,Post1_Gel3,1600.305,11274.238,0.509124088,1.695492776,0.124303854,0.230935405,2.204616864,0.035720377,0.440044597,0.475764974,-0.010272246
2173,30,9,Lost,Lost,1,21.1,2,5.0072,0.07093,70.59354293,1.173859656,Post1_Gel3,3477.79,12840.359,1.10629562,1.930989864,0.213111873,0.364238273,3.037285484,0.665771881,0.789674637,1.455446518,0.082054233
2193,6.63,4,Won,Won,1,27.4,2,4.9736,0.1367,36.38332114,0.615542469,Post1_Gel4,2348.255,7438.095,0.659173314,0.939764936,0.24,0.412256892,1.59893825,0.145294224,-0.456181372,-0.310887148,0.10109266
2194,6.63,12,Won,Won,1,23.2,2,3.5848,0.07526,47.63220834,-0.283085356,Post1_Gel4,1526.548,7350.146,0.428571429,0.928664708,0.172027361,0.315767771,1.357236137,-0.016781695,-0.22941428,-0.246195976,0.040452932
2214,4.76,8,Won,Won,1,23.5,2,,,,,,,,,,,,,,,,
2215,4.76,7,Won,Won,1,20.9,2,3.8344,0.06536,58.66585067,0.045497466,Post1_Gel4,2352.912,14645.874,0.660261059,1.850473392,0.138405412,0.262975266,2.510734451,0.225949716,0.730722634,0.95667235,0.008012556
2239,3.5,2,Won,Won,1,19.6,2,4.34,0.11155,38.90632004,0.182590748,Post1_Gel4,1536.012,10667.187,0.4311095,1.347861574,0.125873386,0.242336431,1.778971074,-0.054719003,0.049284457,-0.005434547,-0.010032282
2252,4.158,1,Won,Won,1,24.1,2,3.764,0.07361,51.13435675,-0.090721552,Post1_Gel4,1267.012,7613.439,0.355692531,0.961965393,0.142711667,0.269942999,1.317657924,-0.087820297,-0.189725557,-0.277545853,0.011334167
2124,15,4,Won,Lost,0,,2,,,,,,,,,,,,,,,,
2125,15,3,Won,Lost,0,,2,,,,,,,,,,,,,,,,
2131,20,12,Lost,Won,0,24.1,2,,,,,,,,,,,,,,,,
2136,34,10,Lost,Lost,0,19.9,2,4.8392,0.16021,30.20535547,0.293578214,,,,,,,,,,,,
2137,34,1,Lost,Lost,0,28.1,2,,,,,,,,,,,,,,,,
2138,34,2,Lost,Lost,0,18.8,2,2.444,0.06845,35.70489408,-1.369554748,Post1_Gel3,171.021,3808.225,0.054288321,0.572784128,0.042882883,0.086574241,0.627072449,-0.383469396,-0.558929684,-0.94239908,-0.087878767
2142,35,11,Lost,Lost,0,21.2,2,,,,,,,,,,,,,,,,
2154,17,6,Lost,Won,0,21.3,2,3.7736,0.1299,29.05003849,-0.530206704,Post1_Gel3,876.648,12591.56,0.278740876,1.893681259,0.065055366,0.128308799,2.172422135,-0.22755396,0.524061412,0.296507452,-0.073040388
2158,17,7,Lost,Won,0,19.9,2,,,,,,,,,,,,,,,,
2163,21,5,Lost,Won,0,28.5,2,,,,,,,,,,,,,,,,
2164,21,13,Lost,Won,0,30.1,2,3.3016,0.08866,37.23889014,-0.673191396,Post1_Gel3,570.82,8112.832,0.181569343,1.219969808,0.065730801,0.129549962,1.401539151,-0.278729223,0.010012205,-0.268717018,-0.067442928
2165,21,2,Lost,Won,0,23.1,2,2.5984,,,,,,,,,,,,,,,
2167,21,4,Lost,Won,0,31.9,2,7.1008,0.16722,42.46382012,2.499251995,,,,,,,,,,,,
2175,30,3,Lost,Lost,0,19.2,2,3.9456,0.04866,81.08508015,0.289931114,,,,,,,,,,,,
2176,30,8,Lost,Lost,0,16.4,2,2.9312,0.03402,86.16108172,-0.607670048,,,,,,,,,,,,
2179,26,9,Lost,Won,0,18.6,2,,,,,,,,,,,,,,,,
2180,26,2,Lost,Won,0,17.6,2,3.5256,0.04948,71.25303153,-0.136610898,,,,,,,,,,,,
2181,26,11,Lost,Won,0,18.4,2,4.928,0.13691,35.99444891,0.568267076,Post1_Gel3,2164.719,11754.773,0.688868613,1.767737761,0.155557845,0.28041473,2.456606374,0.174755304,0.370978429,0.545733733,0.016625442
2182,26,13,Lost,Won,0,18.3,2,4.288,0.10557,40.6175997,0.178299563,Post1_Gel3,1144.648,8905.974,0.364051095,1.339227949,0.113869863,0.21373544,1.703279044,-0.115107726,0.063802631,-0.051305095,-0.021322087
2183,26,12,Lost,Won,0,19.9,2,,,,,,,,,,,,,,,,
2184,26,1,Lost,Won,0,19.6,2,3.244,0.02557,126.8674228,-0.227455418,Post1_Gel4,1233.134,9298.924,0.345902828,1.174991838,0.117026497,0.227433783,1.520894666,-0.044029476,0.209289594,0.165260118,-0.008617392
2195,6.63,3,Won,Won,0,,2,,,,,,,,,,,,,,,,
2200,6.129,10,Won,Won,0,16.8,2,3.684,0.0732,50.32786885,-0.167450546,,,,,,,,,,,,
2206,11,8,Won,Lost,0,18.3,2,3.3504,0.07691,43.56260564,-0.530649159,,,,,,,,,,,,
2207,11,1,Won,Lost,0,20.5,2,3.8848,0.07794,49.84346934,-0.004466564,Post1_Gel4,2059.548,11118.045,0.57795504,1.404831864,0.15627451,0.29148621,1.982786904,0.129612827,0.236377153,0.36598998,0.024380221
