SampleID_1,SampleID_2,Subspecies,Sex,Sample,Trapping site,Latitude,Longitude,Time spent sniffing domesticus stimulus (seconds),Time spent sniffing musculus stimulus (seconds),Difference
mmusallo1400,,M. m. musculus,Male,Close allopatry,H1,56.687977,9.860539,6.3,13.1,0.350515464
mmusallo1407,,M. m. musculus,Male,Close allopatry,H1,56.687977,9.860539,5.7,13,0.390374332
mmusallo1408,,M. m. musculus,Male,Close allopatry,H1,56.687977,9.860539,18,11.8,-0.208053691
fmusallo447,I770,M. m. musculus,Female,Close allopatry,H10,56.671604,9.807290,5.6,7.6,0.151515152
fmusallo455,I774,M. m. musculus,Female,Close allopatry,H10,56.671604,9.807290,0.9,3,0.538461538
fmusallo458,I776,M. m. musculus,Female,Close allopatry,H10,56.671604,9.807290,2.5,5.5,0.375
mmusallo446,I769,M. m. musculus,Male,Close allopatry,H10,56.671604,9.807290,8.3,12.6,0.205741627
mmusallo456,I775,M. m. musculus,Male,Close allopatry,H10,56.671604,9.807290,17.5,9.5,-0.296296296
fmusallo459,I777,M. m. musculus,Female,Close allopatry,H12,56.657694,9.899869,4.5,2.7,-0.25
fmusallo435,,M. m. musculus,Female,Close allopatry,H2,56.668722,9.889028,5.7,2.7,-0.357142857
fmusallo440,I764,M. m. musculus,Female,Close allopatry,H2,56.668722,9.889028,3.3,4.8,0.185185185
fmusallo433,I762,M. m. musculus,Female,Close allopatry,H3,56.697820,9.862048,5.7,3.2,-0.280898876
mmusallo442,I766,M. m. musculus,Male,Close allopatry,H3,56.697820,9.862048,5.6,14.6,0.445544554
mmusallo443,I767,M. m. musculus,Male,Close allopatry,H3,56.697820,9.862048,3.9,12.7,0.530120482
mmusallo449,I771,M. m. musculus,Male,Close allopatry,H3,56.697820,9.862048,6.7,6.9,0.014705882
mmusallo450,I772,M. m. musculus,Male,Close allopatry,H8,56.710553,9.903922,1.8,2.9,0.234042553
fmusallo444,I768,M. m. musculus,Female,Close allopatry,H9,56.699528,9.760556,4.1,5,0.098901099
fmusallo421,I863,M. m. musculus,Female,Close allopatry,R1,56.535667,10.098353,4.5,3.7,-0.097560976
mmusallo420,I862,M. m. musculus,Male,Close allopatry,R1,56.535667,10.098353,5.3,9.3,0.273972603
