nose_sp,nose_sex,nose_geography,nose_population,stimA,stimB,A_snif_(s),B_snif_(s),Smadja_1,Smadja_2
musculus,1,border,B,dom_border,mus_border,2.67,5,6.3,13.1
musculus,1,border,B,dom_border,mus_border,4.21,21.62,5.7,13
musculus,1,border,B,dom_border,mus_border,2.75,15.96,18,11.8
musculus,1,border,B,dom_border,mus_border,5.89,3.95,5.6,7.6
musculus,1,border,La,dom_border,mus_border,9.02,21.87,0.9,3
musculus,1,border,La,dom_border,mus_border,5.74,16.03,2.5,5.5
musculus,1,border,La,dom_border,mus_border,15.26,15.96,8.3,12.6
musculus,1,border,La,dom_border,mus_border,19.54,16.02,17.5,9.5
musculus,1,border,M,dom_border,mus_border,7.63,15.61,4.5,2.7
musculus,1,border,M,dom_border,mus_border,5.58,15.21,5.7,2.7
musculus,1,border,M,dom_border,mus_border,3.58,10.11,3.3,4.8
musculus,1,border,M,dom_border,mus_border,25.15,17.84,5.7,3.2
musculus,1,border,M,dom_border,mus_border,9.25,5.81,5.6,14.6
musculus,2,border,La,dom_border,mus_border,2.21,1.92,3.9,12.7
musculus,2,border,La,dom_border,mus_border,2.48,6.07,6.7,6.9
musculus,2,border,La,dom_border,mus_border,2.42,10.58,1.8,2.9
musculus,2,border,La,dom_border,mus_border,1.96,14.68,4.1,5
musculus,2,border,M,dom_border,mus_border,4.06,11.8,4.5,3.7
musculus,2,border,M,dom_border,mus_border,4.34,6.27,5.3,9.3
musculus,2,border,M,dom_border,mus_border,3.35,8.64,2.9,3
musculus,2,border,M,dom_border,mus_border,1.8,0.82,3.6,1.3
musculus,2,border,La,dom_border,mus_border,10.7,3.21,5.9,3.4
musculus,2,border,B,dom_border,dom_border,3.52,2.32,3.8,9.1
musculus,1,border,B,,mus_border,,,5,10.7
musculus,1,border,La,,mus_border,,,10.3,7.1
musculus,1,border,M,,mus_border,,,4.6,7.4
musculus,1,border,B,,mus_border,,,8.7,3.3
musculus,1,border,B,,mus_border,,,6.4,3.2
musculus,1,border,B,,mus_border,,,13.1,8
musculus,1,border,La,H1,mus_border,4.44,13.77,7.4,12.1
musculus,1,border,La,H1,mus_border,15.07,10.96,6.7,10.2
musculus,1,border,La,H1,mus_border,1.82,11.46,4.3,5.7
musculus,1,border,La,H1,mus_border,8.28,7.96,11.7,10.1
musculus,1,border,M,H1,mus_border,6.28,8.77,2.1,2.3
musculus,1,border,M,H1,mus_border,5.19,16.34,8.7,11.3
musculus,1,border,M,H1,mus_border,9.71,17.54,16.5,7.6
musculus,1,border,La,H1,mus_border,18.17,9.39,7.4,20.9
musculus,1,border,B,H1,mus_border,4.78,3.04,3.7,3.2
musculus,1,border,M,H1,mus_border,3.17,12.79,5.2,12.3
musculus,1,border,B,H1,mus_border,3.12,2.73,5.2,10.2
musculus,2,border,B,H1,mus_border,2.55,6.12,3.5,2.5
musculus,2,border,B,H1,mus_border,3.68,6.34,3.3,0.4
musculus,2,border,La,H1,mus_border,3.77,4.56,6.1,6.8
musculus,2,border,La,H1,mus_border,4.48,3.96,7.6,5.4
musculus,2,border,La,H1,mus_border,2.04,4.05,3.5,3.5
musculus,2,border,M,H1,mus_border,9.73,10.55,12.7,13.9
musculus,2,border,M,H1,mus_border,4.05,4.62,6,4.6
musculus,2,border,M,H1,mus_border,1.82,5.91,12.5,14.3
musculus,2,border,M,H1,mus_border,3.94,3.91,7.3,22.1
musculus,2,border,M,H1,mus_border,7.89,7.75,3.7,6.3
musculus,1,border,La,H1,mus_allopatric,15.12,25.06,3,10.7
musculus,1,border,La,H1,mus_allopatric,17.08,22.74,6.7,13
musculus,1,border,La,H1,mus_allopatric,4.08,35.46,2.3,4.9
musculus,1,border,B,H1,mus_allopatric,5.28,23.85,1.3,4.1
musculus,1,border,B,H1,mus_allopatric,18.6,35.68,5.9,15.7
musculus,1,border,B,H1,mus_allopatric,15.98,21.43,3.4,4.5
musculus,1,border,M,H1,mus_allopatric,7.95,20.89,4,4.4
musculus,1,border,M,H1,mus_allopatric,13.42,24.55,8,13.2
musculus,1,border,M,H1,mus_allopatric,18.28,17.47,10.6,11.8
musculus,1,border,M,H1,mus_allopatric,6.69,14.1,8.3,9.3
musculus,1,border,La,,mus_border,,,3.9,2.5
musculus,1,border,B,,mus_border,,,3.5,3.7
musculus,1,border,M,,mus_border,,,4.2,7.4
musculus,1,border,La,,mus_border,,,6.2,15.5
musculus,1,border,B,,mus_border,,,7.2,16.7
musculus,1,border,B,,mus_border,,,14.7,15.1
musculus,1,border,B,,mus_border,,,8.3,10.6
musculus,1,border,La,,mus_border,,,0.9,1.8
musculus,1,border,La,,mus_border,,,5.4,4.4
musculus,1,border,La,,mus_border,,,5.2,3.5
musculus,1,border,M,,mus_border,,,6,5.7
musculus,1,border,M,,mus_border,,,6,8.1
musculus,1,border,M,,mus_border,,,4.6,5.2
musculus,1,border,M,,mus_border,,,6.3,15.9
musculus,1,border,La,,mus_border,,,6.3,2
musculus,1,border,B,,mus_border,,,8.4,18.6
musculus,1,border,B,,mus_border,,,3.9,13.2
musculus,1,border,B,,mus_border,,,1.3,2.3
musculus,1,border,B,,mus_border,,,3.2,6.4
musculus,1,border,La,,mus_border,,,4.1,9.7
musculus,1,border,La,,mus_border,,,5.8,8.8
musculus,1,border,La,,mus_border,,,4.85,3.26
musculus,1,border,M,,mus_border,,,0,0
musculus,1,border,M,,mus_border,,,4.74,2.31
musculus,1,border,M,,mus_border,,,3.05,18.59
musculus,1,border,La,,mus_border,,,6.59,3.04
musculus,1,border,B,,mus_border,,,13.52,15.01
musculus,1,border,B,,mus_border,,,5.28,6.32
musculus,1,border,B,,mus_border,,,5.03,2.78
musculus,1,border,La,,mus_border,,,17.25,9.67
musculus,1,border,La,,mus_border,,,8.19,5.91
musculus,1,border,La,,mus_border,,,15.78,22.27
musculus,1,border,La,,mus_border,,,21.92,31.79
musculus,1,border,La,,mus_border,,,0,1.21
musculus,1,border,M,,mus_border,,,4.31,3.09
musculus,1,border,M,,mus_border,,,8.49,1.91
musculus,1,border,La,,mus_border,,,15.06,16.1
musculus,1,border,B,,mus_border,,,18.27,23.85
musculus,1,border,B,,mus_border,,,14.55,18.36
musculus,1,border,B,,mus_border,,,9.65,13.95
musculus,1,border,La,,mus_border,,,7.86,6.51
musculus,1,border,La,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,B,,mus_border,,,,
musculus,1,border,B,,mus_border,,,,
musculus,1,border,B,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,La,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,M,,mus_border,,,,
musculus,1,border,B,H7,mus_border,9.39,19.3,,
musculus,1,border,La,H7,mus_border,3.71,27.56,,
musculus,1,border,B,H7,mus_border,8.03,13.81,,
musculus,1,border,B,H7,mus_border,8.08,26.1,,
musculus,1,border,La,H7,mus_border,11.59,15.16,,
musculus,1,border,La,H7,mus_border,5.21,15.24,,
musculus,1,border,La,H7,mus_border,6.72,19.47,,
musculus,1,border,M,H7,mus_border,10.86,20.59,,
musculus,1,border,M,H7,mus_border,3.19,8.9,,
musculus,1,border,M,H7,mus_border,8.34,10.61,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,B,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,La,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,M,,mus_border,,,,
musculus,2,border,B,H7,mus_border,1.72,3.65,,
musculus,2,border,M,H7,mus_border,1.41,6.57,,
musculus,2,border,B,H7,mus_border,6.69,8.05,,
musculus,2,border,B,H7,mus_border,9.61,8.05,,
musculus,2,border,La,H7,mus_border,3.22,4.34,,
musculus,2,border,La,H7,mus_border,5.09,5.04,,
musculus,2,border,La,H7,mus_border,2.42,3.32,,
